,cor_name,link,company,수요예측일(1),수요예측일(2),공모청약일(1),공모청약일(2),배정공고일,납입일,환불일,상장일
0,핀텔,http://www.38.co.kr/html/fund/index.htm?o=v&no=1818&l=&page=1,대신증권,2022.10.04,2022.10.05,2022.10.11,2022.10.12,2022.10.14,2022.10.14,2022.10.14,
1,샤페론,http://www.38.co.kr/html/fund/index.htm?o=v&no=1815&l=&page=1,NH투자증권,2022.09.29,2022.09.30,2022.10.06,2022.10.07,2022.10.12,2022.10.12,2022.10.12,
2,뉴로메카,http://www.38.co.kr/html/fund/index.htm?o=v&no=1830&l=&page=1,대신증권,2022.09.29,2022.09.30,2022.10.06,2022.10.07,2022.10.12,2022.10.12,2022.10.12,
3,에스비비테크,http://www.38.co.kr/html/fund/index.htm?o=v&no=1822&l=&page=1,미래에셋증권,2022.09.28,2022.09.29,2022.10.05,2022.10.06,2022.10.11,2022.10.11,2022.10.11,
4,오에스피,http://www.38.co.kr/html/fund/index.htm?o=v&no=1828&l=&page=1,대신증권,2022.09.27,2022.09.28,2022.10.04,2022.10.05,2022.10.07,2022.10.07,2022.10.07,
5,탑머티리얼,http://www.38.co.kr/html/fund/index.htm?o=v&no=1831&l=&page=1,한국투자증권,2022.09.27,2022.09.28,2022.10.04,2022.10.05,2022.10.07,2022.10.07,2022.10.07,
6,이노룰스,http://www.38.co.kr/html/fund/index.htm?o=v&no=1819&l=&page=1,NH투자증권,2022.09.22,2022.09.23,2022.09.27,2022.09.28,2022.09.30,2022.09.30,2022.09.30,
7,플라즈맵,http://www.38.co.kr/html/fund/index.htm?o=v&no=1825&l=&page=1,미래에셋증권,2022.09.20,2022.09.21,2022.09.26,2022.09.27,2022.09.29,2022.09.29,2022.09.29,
8,모델솔루션,http://www.38.co.kr/html/fund/index.htm?o=v&no=1827&l=&page=1,KB증권,2022.09.19,2022.09.20,2022.09.26,2022.09.27,2022.09.29,2022.09.29,2022.09.29,
9,선바이오,http://www.38.co.kr/html/fund/index.htm?o=v&no=1824&l=&page=1,하나증권,2022.09.16,2022.09.19,2022.09.22,2022.09.23,2022.09.16,2022.09.27,2022.09.27,
10,더블유씨피,http://www.38.co.kr/html/fund/index.htm?o=v&no=1807&l=&page=1,"KB증권,신한금융투자,삼성증권",2022.09.14,2022.09.15,2022.09.20,2022.09.21,2022.09.23,2022.09.23,2022.09.23,
11,알피바이오,http://www.38.co.kr/html/fund/index.htm?o=v&no=1820&l=&page=1,한국투자증권,2022.09.15,2022.09.16,2022.09.20,2022.09.21,2022.09.23,2022.09.23,2022.09.23,
12,오픈엣지테크놀로지,http://www.38.co.kr/html/fund/index.htm?o=v&no=1816&l=&page=1,삼성증권,2022.09.07,2022.09.08,2022.09.15,2022.09.16,2022.09.20,2022.09.20,2022.09.20,2022.09.26
